name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,Connector size,Battery Size,Distance Driven,Range Buffer,Driving Eff,Inverter Eff,Dispatch Time,origin
chevrolet chevelle malibu,18,8,307,130,3504,12,70,12,19,514,80,257,494,48,usa
buick skylark 320,15,8,350,165,3693,11.5,70,30,19,600,115,300,580,48,usa
plymouth satellite,18,8,318,150,3436,11,70,36,19,536,100,268,516,48,usa
amc rebel sst,16,8,304,150,3433,12,70,32,19,508,100,254,488,48,usa
ford torino,17,8,302,140,3449,10.5,70,42,19,504,90,252,484,48,usa
ford galaxie 500,15,8,429,198,4341,10,70,38,19,758,148,379,738,48,usa
chevrolet impala,14,8,454,220,4354,9,70,36,19,808,170,404,788,48,usa
plymouth fury iii,14,8,440,215,4312,8.5,70,36,19,780,165,390,760,48,usa
pontiac catalina,14,8,455,225,4425,10,70,36,19,810,175,405,790,48,usa
amc ambassador dpl,15,8,390,190,3850,8.5,70,38,19,680,140,340,660,48,usa
dodge challenger se,15,8,383,170,3563,10,70,38,19,666,120,333,646,48,usa
plymouth 'cuda 340,14,8,340,160,3609,8,70,36,19,580,110,290,560,48,usa
chevrolet monte carlo,15,8,400,150,3761,9.5,70,38,19,700,100,350,680,48,usa
buick estate wagon (sw),14,8,455,225,3086,10,70,36,19,810,175,405,790,48,usa
toyota corona mark ii,24,4,113,95,2372,15,70,56,7,126,45,63,106,44,japan
plymouth duster,22,6,198,95,2833,15.5,70,52,13,296,45,148,276,46,usa
amc hornet,18,6,199,97,2774,15.5,70,44,13,298,47,149,278,46,usa
ford maverick,21,6,200,85,2587,16,70,50,13,300,35,150,280,46,usa
datsun pl510,27,4,97,88,2130,14.5,70,62,7,94,38,47,74,44,japan
volkswagen 1131 deluxe sedan,26,4,97,46,1835,20.5,70,60,7,94,-4,47,74,44,europe
peugeot 504,25,4,110,87,2672,17.5,70,58,7,120,37,60,100,44,europe
audi 100 ls,24,4,107,90,2430,14.5,70,56,7,114,40,57,94,44,europe
saab 99e,25,4,104,95,2375,17.5,70,58,7,108,45,54,88,44,europe
bmw 2002,26,4,121,113,2234,12.5,70,60,7,142,63,71,122,44,europe
amc gremlin,21,6,199,90,2648,15,70,50,13,298,40,149,278,46,usa
ford f250,10,8,360,215,4615,14,70,28,19,620,165,310,600,48,usa
chevy c20,10,8,307,200,4376,15,70,28,19,514,150,257,494,48,usa
dodge d200,11,8,318,210,4382,13.5,70,30,19,536,160,268,516,48,usa
hi 1200d,9,8,304,193,4732,18.5,70,26,19,508,143,254,488,48,usa
datsun pl510,27,4,97,88,2130,14.5,71,62,7,94,38,47,74,44,japan
chevrolet vega 2300,28,4,140,90,2264,15.5,71,64,7,180,40,90,160,44,usa
toyota corona,25,4,113,95,2228,14,71,58,7,126,45,63,106,44,japan
ford pinto,25,4,98,,2046,19,71,58,7,96,-50,48,76,44,usa
amc gremlin,19,6,232,100,2634,13,71,46,13,364,50,182,344,46,usa
plymouth satellite custom,16,6,225,105,3439,15.5,71,40,13,350,55,175,330,46,usa
chevrolet chevelle malibu,17,6,250,100,3329,15.5,71,42,13,400,50,200,380,46,usa
ford torino 500,19,6,250,88,3302,15.5,71,46,13,400,38,200,380,46,usa
amc matador,18,6,232,100,3288,15.5,71,44,13,364,50,182,344,46,usa
chevrolet impala,14,8,350,165,4209,12,71,36,19,600,115,300,580,48,usa
pontiac catalina brougham,14,8,400,175,4464,11.5,71,36,19,700,125,350,680,48,usa
ford galaxie 500,14,8,351,153,4154,13.5,71,36,19,602,103,301,582,48,usa
plymouth fury iii,14,8,318,150,4096,13,71,36,19,536,100,268,516,48,usa
